city,description,humidity,temp,temp_min,temp_max
Pantin,clear sky,35.0,287.15,285.87,288.14
Pamiers,overcast clouds,73.0,281.62,281.54,283.96
Palaiseau,clear sky,36.0,287.03,285.2,287.9
Ozoir-la-Ferrière,clear sky,30.0,286.68,285.71,287.76
Oyonnax,overcast clouds,79.0,282.53,282.22,282.78
Outreau,clear sky,77.0,285.79,285.79,285.79
Oullins,overcast clouds,83.0,283.6,281.48,285.43
Osny,clear sky,40.0,285.97,285.36,288.06
Orvault,clear sky,37.0,286.43,285.9,287.09
Orsay,clear sky,35.0,287.05,285.2,287.86
Orly,clear sky,35.0,287.3,285.89,288.15
Orléans,clear sky,41.0,285.91,285.11,286.17
Orange,clear sky,50.0,293.77,289.85,298.28
Olivet,clear sky,41.0,285.94,285.19,286.25
Octeville,clear sky,71.0,282.42,282.42,283.03
Noyon,clear sky,51.0,284.51,284.51,284.51
Noisy-le-Sec,clear sky,35.0,287.04,285.77,288.04
Noisy-le-Grand,clear sky,34.0,286.96,285.7,287.97
Noisiel,clear sky,34.0,286.97,285.97,288.02
Nogent-sur-Oise,clear sky,50.0,286.32,284.92,287.31
Nogent-sur-Marne,clear sky,35.0,286.97,285.65,287.91
Niort,overcast clouds,66.0,285.72,285.72,285.77
Nîmes,clear sky,67.0,285.09,284.09,285.46
Nice,overcast clouds,67.0,279.25,278.57,279.49
Nevers,clear sky,62.0,284.47,284.47,284.47
Neuilly-sur-Seine,clear sky,35.0,287.2,285.91,288.17
Neuilly-sur-Marne,clear sky,34.0,287.2,285.93,288.19
Neuilly-Plaisance,clear sky,34.0,287.04,285.77,288.03
Narbonne,overcast clouds,58.0,285.72,285.38,286.28
Nantes,clear sky,28.0,286.81,285.93,287.11
Nanterre,clear sky,35.0,287.09,285.85,288.12
Nancy,clear sky,56.0,283.15,282.95,283.69
Muret,overcast clouds,87.0,283.86,283.01,284.84
Mulhouse,broken clouds,66.0,283.93,283.3,285.2
Moulins,overcast clouds,74.0,283.29,283.29,283.29
Mougins,clear sky,59.0,287.19,286.12,288.02
Morsang-sur-Orge,clear sky,35.0,287.29,285.89,288.15
Morlaix,clear sky,61.0,284.11,283.74,285.24
Mont-Saint-Aignan,clear sky,35.0,285.3,284.98,286.3
Montrouge,clear sky,35.0,287.06,285.71,287.97
Montreuil,clear sky,34.0,286.99,285.7,287.96
Montpellier,clear sky,67.0,287.86,286.44,287.86
Montmorency,clear sky,35.0,286.86,285.68,287.95
Montluçon,overcast clouds,81.0,284.1,284.1,284.1
Montivilliers,few clouds,50.0,285.98,285.57,286.94
Montigny-lès-Metz,clear sky,48.0,283.7,283.36,287.75
Montigny-lès-Cormeilles,clear sky,37.0,286.76,285.71,287.97
Montigny-le-Bretonneux,clear sky,37.0,286.33,284.7,287.4
Montgeron,clear sky,34.0,287.03,285.67,287.93
Montfermeil,clear sky,34.0,286.66,285.45,287.71
Montesson,clear sky,37.0,287.07,285.94,288.2
Montereau-Fault-Yonne,clear sky,50.0,286.4,285.08,286.4
Montélimar,overcast clouds,74.0,284.39,283.57,286.18
Mont-de-Marsan,clear sky,76.0,283.83,282.0,284.88
Montceau-les-Mines,overcast clouds,64.0,284.47,284.36,284.66
Montbrison,overcast clouds,81.0,280.34,280.34,282.65
Montbéliard,overcast clouds,61.0,281.58,281.47,284.75
Montauban,overcast clouds,88.0,284.46,284.46,284.46
Montargis,scattered clouds,61.0,285.09,284.42,285.12
Mons-en-Barœul,clear sky,45.0,286.4,284.7,287.25
Moissy-Cramayel,clear sky,30.0,286.68,285.83,287.88
Mitry-Mory,clear sky,34.0,286.78,285.27,287.97
Miramas,clear sky,67.0,287.61,287.19,287.94
Millau,overcast clouds,90.0,285.22,285.22,285.22
Meyzieu,overcast clouds,79.0,283.79,282.31,285.34
Meylan,overcast clouds,97.0,282.71,281.84,284.03
Meudon,clear sky,36.0,286.75,285.4,287.66
Metz,clear sky,48.0,283.59,283.42,284.56
Mérignac,overcast clouds,65.0,288.5,288.09,288.85
Menton,overcast clouds,67.0,287.79,287.19,288.1
Melun,clear sky,30.0,286.28,285.81,287.86
Meaux,clear sky,49.0,285.82,285.64,286.42
Mayenne,clear sky,55.0,285.84,285.84,285.84
Maurepas,clear sky,36.0,286.17,284.64,287.34
Mauguio,clear sky,67.0,288.09,286.67,288.09
Maubeuge,clear sky,55.0,283.98,283.28,285.42
Massy,clear sky,35.0,286.98,285.15,287.85
Martigues,broken clouds,67.0,288.03,287.45,288.2
Marseille,overcast clouds,65.0,285.69,284.76,285.9
Marmande,overcast clouds,76.0,287.38,286.32,288.26
Marly-le-Roi,clear sky,37.0,286.28,285.14,287.4
Marignane,broken clouds,67.0,288.07,287.46,288.21
Marcq-en-Barœul,clear sky,46.0,286.44,284.77,287.31
Mantes-la-Ville,clear sky,42.0,286.12,285.33,288.02
Mantes-la-Jolie,clear sky,42.0,286.38,285.61,287.79
Manosque,overcast clouds,77.0,285.68,285.68,285.68
Mandelieu-la-Napoule,clear sky,54.0,288.23,287.13,289.03
Malakoff,clear sky,35.0,287.09,285.74,288.0
Maisons-Laffitte,clear sky,39.0,286.94,285.9,288.17
Maisons-Alfort,clear sky,34.0,287.31,285.94,288.2
Mâcon,overcast clouds,70.0,284.63,284.36,284.89
Lyon,overcast clouds,81.0,280.91,279.18,283.12
Lunéville,scattered clouds,62.0,283.22,283.09,283.83
Lunel,clear sky,67.0,288.1,286.68,288.1
Lucé,clear sky,38.0,285.76,284.2,286.41
Louviers,clear sky,40.0,286.1,285.65,286.9
Lourdes,overcast clouds,93.0,280.86,280.86,281.66
Lormont,overcast clouds,65.0,288.36,287.99,288.76
Lorient,clear sky,35.0,287.23,286.42,287.23
Loos,clear sky,45.0,286.49,284.72,287.41
Lons-le-Saunier,overcast clouds,66.0,281.4,279.92,282.77
Longjumeau,clear sky,36.0,287.27,285.45,288.15
Lomme,clear sky,46.0,286.37,284.67,287.37
Lognes,clear sky,37.0,286.77,285.77,287.82
Livry-Gargan,clear sky,34.0,286.68,285.48,287.74
L’Isle-sur-la-Sorgue,overcast clouds,66.0,285.21,284.97,287.89
Lisieux,clear sky,55.0,286.22,283.88,286.35
Lingolsheim,clear sky,58.0,283.95,282.9,284.75
Limoges,overcast clouds,76.0,282.46,282.46,282.97
Limeil-Brévannes,clear sky,34.0,287.13,285.78,288.04
Limay,overcast clouds,85.0,297.08,297.08,298.9
Lille,clear sky,45.0,286.46,284.72,287.42
Liévin,clear sky,40.0,286.27,285.14,287.16
Libourne,overcast clouds,70.0,288.28,288.27,289.03
L'Haÿ-les-Roses,clear sky,36.0,287.16,285.77,288.04
Le Vésinet,clear sky,37.0,287.11,285.94,288.21
Levallois-Perret,clear sky,35.0,287.25,285.99,288.25
Les Sables-d'Olonne,broken clouds,59.0,285.59,285.59,285.59
Les Pennes-Mirabeau,broken clouds,66.0,287.11,286.59,287.34
Les Pavillons-sous-Bois,clear sky,35.0,286.95,285.71,287.97
Les Mureaux,clear sky,42.0,286.52,286.06,288.32
Les Lilas,clear sky,34.0,286.68,285.4,287.66
Les Herbiers,overcast clouds,58.0,284.99,284.99,284.99
Les Clayes-sous-Bois,clear sky,37.0,286.39,284.9,287.6
Le Puy-en-Velay,overcast clouds,95.0,279.91,279.91,279.91
Le Pré-Saint-Gervais,clear sky,34.0,287.06,285.77,288.03
Le Pontet,overcast clouds,70.0,285.48,285.25,288.16
Le Plessis-Trévise,clear sky,34.0,286.76,285.48,287.75
Le Plessis-Robinson,clear sky,36.0,286.72,285.35,287.61
Le Petit-Quevilly,clear sky,35.0,285.86,285.52,286.84
Le Perreux-sur-Marne,clear sky,34.0,287.11,285.82,288.08
Le Pecq,clear sky,37.0,287.09,285.99,288.25
Lens,clear sky,40.0,286.57,285.25,287.28
Le Mée-sur-Seine,clear sky,30.0,286.65,285.97,288.02
Le Mans,clear sky,24.0,287.11,287.11,287.11
Le Kremlin-Bicêtre,clear sky,35.0,287.16,285.79,288.05
Le Havre,few clouds,50.0,285.66,285.66,287.01
Le Grand-Quevilly,clear sky,35.0,285.75,285.41,286.73
Le Creusot,overcast clouds,66.0,284.08,284.08,284.08
Le Chesnay,clear sky,36.0,286.59,284.93,287.63
Le Cannet,clear sky,58.0,287.97,286.73,288.64
Le Bouscat,overcast clouds,65.0,288.59,288.21,288.98
Le Blanc-Mesnil,clear sky,35.0,287.13,285.9,288.16
Laxou,clear sky,56.0,283.26,283.05,283.79
La Valette-du-Var,clear sky,58.0,286.99,286.05,288.24
Laval,overcast clouds,63.0,280.92,280.07,281.25
Lattes,clear sky,67.0,288.13,286.71,288.13
La Teste-de-Buch,clear sky,82.0,284.27,284.27,289.03
La Seyne-sur-Mer,overcast clouds,59.0,287.42,286.99,288.63
La Roche-sur-Yon,clear sky,54.0,285.3,285.3,285.3
La Rochelle,clear sky,58.0,287.19,285.86,287.19
Laon,clear sky,55.0,281.84,281.84,281.84
Lannion,clear sky,56.0,283.98,282.97,284.14
Lanester,clear sky,35.0,287.22,286.49,287.31
Landerneau,clear sky,52.0,285.3,284.14,286.57
Lambersart,clear sky,46.0,286.44,284.76,287.3
La Madeleine,clear sky,46.0,286.41,284.72,287.26
Lagny-sur-Marne,clear sky,47.0,286.59,285.7,287.75
La Garenne-Colombes,clear sky,35.0,287.14,285.88,288.14
La Garde,clear sky,58.0,287.24,286.32,288.51
La Flèche,clear sky,47.0,286.29,286.26,287.29
La Crau,clear sky,56.0,287.08,286.19,288.38
La Courneuve,clear sky,35.0,287.2,285.94,288.21
La Ciotat,overcast clouds,62.0,287.6,286.95,288.59
La Chapelle-sur-Erdre,clear sky,38.0,286.31,285.72,287.07
La Celle-Saint-Cloud,clear sky,36.0,286.4,285.17,287.43
Jouy-le-Moutier,clear sky,40.0,286.16,285.2,287.9
Joué-lés-Tours,,,,,
Joinville-le-Pont,clear sky,35.0,287.26,285.92,288.19
Ivry-sur-Seine,clear sky,35.0,287.31,285.96,288.22
Istres,clear sky,67.0,287.74,287.23,287.99
Issy-les-Moulineaux,clear sky,36.0,287.12,285.77,288.03
Issoire,overcast clouds,85.0,281.74,281.74,281.74
Illzach,overcast clouds,70.0,284.15,283.66,285.55
Illkirch-Graffenstaden,clear sky,61.0,283.89,282.92,284.77
Hyères,clear sky,55.0,287.19,286.33,288.52
Houilles,clear sky,36.0,287.17,285.99,288.26
Hérouville-Saint-Clair,clear sky,66.0,284.71,284.57,287.05
Herblay,clear sky,40.0,286.7,285.72,287.99
Hénin-Beaumont,clear sky,42.0,286.47,285.19,287.21
Hem,clear sky,42.0,286.31,284.66,287.21
Hazebrouck,clear sky,67.0,285.36,282.47,287.43
Hayange,clear sky,47.0,284.01,283.31,285.23
Hautmont,clear sky,55.0,284.07,283.29,285.12
Yutz,clear sky,46.0,284.47,283.58,285.51
Haubourdin,clear sky,45.0,286.52,284.73,287.43
Halluin,clear sky,57.0,286.11,284.8,287.5
Haguenau,broken clouds,54.0,283.89,283.74,284.77
Guyancourt,clear sky,37.0,286.3,284.7,287.01
Gujan-Mestras,clear sky,82.0,284.25,284.25,289.02
Guéret,overcast clouds,74.0,281.69,281.69,281.69
Guérande,clear sky,56.0,285.73,285.63,286.68
Grigny,clear sky,35.0,287.0,285.69,287.56
Grenoble,overcast clouds,93.0,274.58,274.58,276.54
Grasse,clear sky,63.0,284.34,283.67,285.57
Grande-Synthe,few clouds,63.0,283.5,282.14,284.32
Gradignan,overcast clouds,67.0,288.61,284.14,288.9
Goussainville,clear sky,34.0,286.62,285.15,287.85
Gonesse,clear sky,34.0,287.0,285.84,287.71
Givors,overcast clouds,76.0,283.14,281.42,285.36
Gif-sur-Yvette,clear sky,36.0,286.52,284.77,287.47
Gien,scattered clouds,60.0,285.11,283.87,285.12
Gentilly,clear sky,35.0,286.99,285.66,287.53
Gennevilliers,clear sky,35.0,287.2,285.99,287.86
Garges-lès-Gonesse,clear sky,35.0,286.97,285.78,287.65
Gardanne,overcast clouds,67.0,286.63,285.81,286.91
Garches,clear sky,36.0,286.64,285.36,287.62
Gap,overcast clouds,44.0,279.72,279.72,279.72
Gagny,clear sky,35.0,287.04,285.79,288.06
Frontignan,overcast clouds,75.0,287.9,287.07,288.12
Fresnes,clear sky,36.0,287.12,285.41,287.59
Fréjus,overcast clouds,66.0,288.0,286.35,289.03
Franconville,clear sky,36.0,286.8,285.72,287.46
Fougères,clear sky,55.0,286.07,286.07,286.07
Fos-sur-Mer,clear sky,67.0,288.03,287.46,288.21
Forbach,clear sky,42.0,283.65,282.95,284.02
Fontenay-sous-Bois,clear sky,34.0,286.94,285.68,287.43
Fontenay-le-Comte,overcast clouds,62.0,285.4,285.4,286.95
Fontenay-aux-Roses,clear sky,36.0,286.77,285.41,287.24
Fontainebleau,clear sky,47.0,286.27,285.51,287.36
Fontaine,overcast clouds,89.0,283.06,282.3,284.49
Floirac,overcast clouds,66.0,288.39,287.9,288.66
Fleury-les-Aubrais,clear sky,40.0,285.96,285.11,286.17
Flers,clear sky,57.0,283.29,283.29,283.29
Firminy,mist,93.0,279.43,279.43,279.43
Fécamp,clear sky,66.0,285.63,285.62,286.99
Faches-Thumesnil,clear sky,45.0,286.41,284.63,287.32
Eysines,overcast clouds,66.0,288.44,288.12,288.89
Évry,clear sky,33.0,286.9,285.87,287.4
Évreux,clear sky,35.0,286.25,285.35,286.6
Étampes,clear sky,43.0,287.03,285.94,287.99
La Baule-Escoublac,clear sky,39.0,285.77,285.77,285.96
Ermont,clear sky,36.0,286.9,285.75,287.58
Éragny,clear sky,39.0,286.34,285.4,287.58
Équeurdreville-Hainneville,clear sky,71.0,282.89,282.89,283.49
Épinay-sur-Seine,clear sky,35.0,287.14,285.88,287.71
Épinal,overcast clouds,67.0,282.9,282.9,284.57
Épernay,clear sky,37.0,284.37,283.09,284.37
Elbeuf,clear sky,41.0,285.98,285.58,286.94
Élancourt,clear sky,37.0,286.31,284.88,287.06
Écully,overcast clouds,79.0,283.35,281.1,285.05
Échirolles,overcast clouds,97.0,282.47,281.86,284.05
Eaubonne,clear sky,35.0,286.97,285.83,288.1
Dunkerque,clear sky,74.0,284.61,282.01,287.45
Dreux,clear sky,49.0,285.79,285.56,286.39
Draveil,clear sky,36.0,287.08,285.81,287.55
Drancy,clear sky,35.0,287.12,285.88,288.14
Draguignan,overcast clouds,64.0,286.59,285.28,287.96
Douarnenez,clear sky,41.0,286.59,285.65,286.6
Douai,clear sky,61.0,286.19,285.08,287.1
Domont,clear sky,34.0,286.34,284.97,287.16
Dole,few clouds,58.0,284.47,282.1,285.65
Dijon,clear sky,58.0,283.98,283.33,285.55
Digne-les-Bains,overcast clouds,86.0,282.6,282.6,282.6
Dieppe,clear sky,43.0,284.83,284.83,285.25
Deuil-la-Barre,clear sky,35.0,287.0,285.77,287.6
Denain,clear sky,51.0,286.07,285.28,287.21
Décines-Charpieu,overcast clouds,79.0,283.8,282.39,285.42
Dax,broken clouds,90.0,283.72,282.83,284.98
Dammarie-les-Lys,clear sky,30.0,286.62,286.31,287.51
Cugnaux,clear sky,86.0,283.9,282.73,285.12
Croix,clear sky,47.0,286.24,285.23,287.2
Créteil,clear sky,35.0,287.25,285.94,287.69
Crépy-en-Valois,clear sky,52.0,286.22,286.22,286.88
Creil,clear sky,50.0,286.21,284.66,287.05
Cran-Gevrier,overcast clouds,71.0,282.71,281.11,282.84
Cournon-d’Auvergne,overcast clouds,81.0,281.88,281.88,281.88
Courbevoie,clear sky,35.0,287.15,285.88,288.15
Coulommiers,clear sky,48.0,286.25,286.25,286.36
Couëron,clear sky,35.0,286.79,285.77,287.12
Coudekerque-Branche,clear sky,67.0,283.86,282.14,287.58
Cormeilles-en-Parisis,clear sky,37.0,286.72,285.6,287.43
Corbeil-Essonnes,clear sky,31.0,287.02,286.05,287.58
Conflans-Sainte-Honorine,clear sky,42.0,286.68,285.87,288.14
Concarneau,clear sky,59.0,286.59,286.59,287.31
Compiègne,clear sky,51.0,286.55,286.55,286.55
Combs-la-Ville,clear sky,30.0,286.98,286.3,287.51
Pontault-Combault,clear sky,34.0,286.71,286.01,287.22
Colomiers,clear sky,86.0,283.89,282.73,285.12
Colombes,clear sky,35.0,287.09,285.84,287.67
Colmar,clear sky,58.0,284.18,282.92,285.11
Cognac,clear sky,66.0,284.48,283.73,285.58
Cluses,overcast clouds,93.0,282.26,281.5,283.32
Clichy-sous-Bois,clear sky,34.0,286.65,285.48,287.22
Clichy,clear sky,35.0,287.16,285.88,287.71
Clermont-Ferrand,overcast clouds,81.0,278.78,278.78,278.78
Clamart,clear sky,36.0,286.8,285.44,287.27
Cholet,broken clouds,52.0,286.73,285.55,286.73
Choisy-le-Roi,clear sky,36.0,287.28,285.96,287.71
