city,idx,today_o3_average,tomorrow_o3_average
Montigny-lès-Cormeilles,,,
Montigny-le-Bretonneux,,,
Montgeron,,,
Montfermeil,3101.0,29.0,32.0
Montesson,,,
Montereau-Fault-Yonne,,,
Montélimar,,,
Mont-de-Marsan,5070.0,26.0,33.0
Montceau-les-Mines,11947.0,32.0,32.0
Montbrison,,,
Montbéliard,6389.0,30.0,32.0
Montauban,8603.0,10.0,18.0
Montargis,6580.0,21.0,22.0
Mons-en-Barœul,8613.0,23.0,27.0
Moissy-Cramayel,,,
Mitry-Mory,3101.0,29.0,32.0
Miramas,5050.0,,
Millau,8606.0,,
Meyzieu,3025.0,18.0,21.0
Meylan,3071.0,16.0,25.0
Meudon,6937.0,25.0,28.0
Metz,6359.0,32.0,30.0
Mérignac,5058.0,29.0,31.0
Menton,,,
Melun,3095.0,32.0,32.0
Meaux,,,
Mayenne,,,
Maurepas,,,
Mauguio,,,
Maubeuge,6259.0,27.0,31.0
Massy,,,
Martigues,5051.0,19.0,35.0
Marseille,6882.0,18.0,40.0
Marmande,5071.0,31.0,28.0
Marly-le-Roi,,,
Marignane,5052.0,18.0,34.0
Marcq-en-Barœul,8613.0,23.0,27.0
Mantes-la-Ville,,,
Mantes-la-Jolie,,,
Manosque,6881.0,25.0,32.0
Mandelieu-la-Napoule,6896.0,32.0,37.0
Malakoff,5722.0,26.0,29.0
Maisons-Laffitte,,,
Maisons-Alfort,3088.0,26.0,29.0
Mâcon,3919.0,9.0,8.0
Lyon,10050.0,27.0,19.0
Lunéville,6374.0,34.0,32.0
Lunel,5093.0,21.0,30.0
Lucé,11940.0,30.0,31.0
Louviers,,,
Lourdes,3831.0,28.0,22.0
Lormont,5059.0,29.0,30.0
Lorient,3149.0,23.0,33.0
Loos,8613.0,23.0,27.0
Lons-le-Saunier,6388.0,29.0,29.0
Longjumeau,,,
Lomme,10084.0,23.0,26.0
Lognes,3093.0,29.0,32.0
Livry-Gargan,3101.0,29.0,32.0
L’Isle-sur-la-Sorgue,,,
Lisieux,4594.0,30.0,33.0
Lingolsheim,3820.0,28.0,29.0
Limoges,10073.0,30.0,30.0
Limeil-Brévannes,,,
Limay,,,
Lille,8613.0,23.0,27.0
Liévin,11678.0,24.0,28.0
Libourne,,,
L'Haÿ-les-Roses,5722.0,26.0,29.0
Le Vésinet,,,
Levallois-Perret,5722.0,26.0,29.0
Les Sables-d'Olonne,,,
Les Pennes-Mirabeau,6884.0,21.0,37.0
Les Pavillons-sous-Bois,3099.0,28.0,31.0
